,incident_id,crime_type,district,city,state,address,latitude,longitude,incident_datetime,officer_id,officer_first_name,officer_last_name,badge_number,suspect_id,suspect_first_name,suspect_last_name,suspect_age,suspect_gender,suspect_race,victim_id,victim_first_name,victim_last_name,victim_age,victim_gender,victim_phone,weapon_used,severity,case_status,resolution,num_arrests,property_loss_usd,reported_online,notes
612,INC000822,Arson,Nor,Centerville,FL,8563 Park Rd,40.006548,-106.528188,2021-12-04 01:25:08,OFF0099,William,Wright,7802.0,SUS00768,John,Garcia,58.0,F,Black,VIC00267,Chris,Torres,87.0,male,872-514-4875,Hands/Feet,2,Resolved,NO ARREST,1.0,43031.66,0,Incident at 8563 Park Rd. Officer responded at scene.
613,INC002970,Vandalism, Southwest,Riverside,IL,4419 Main St,125.389,-70.377697,2018-10-10 20:46:12,OFF0095,Susan,White,8656.0,SUS00363,James,Williams,37.0,MALE,Black,VIC00652,Jennifer,Williams,85.0,FEMALE,270-141-5080,Knife,high,Pendng,Dismissed,3.0,41450.83,yes,Incident at 4419 Main St. Officer responded at scene.
614,INC000869,fraud,Sou,Centerville,NY,5022 Washington Ave,39.488097,-105.125812,2024-04-02 21:54:16,OFF0063,James,Nguyen,3937.0,SUS00460,Robert,Hall,65.0,Female,hispanic,VIC00590,John,Thomas,30.0,M,247-961-6406,Rifle,Critical,Under Investigation,NO ARREST,3.0,30869.46,yes,Incident at 5022 Washington Ave. Officer responded at scene.
619,INC003700,Sexual Assault,nor,Maplewood,OH,4689 Cedar Lane,36.659616,-78.974504,2019-12-05 23:56:52,OFF0092,Daniel,Miller,9607.0,SUS00097,Mark,Walker,166.0,Female,asian,VIC00419,Nancy,Lee,72.0,female,328-737-3523,blunt object,Crit,Resolved,Case Dismissed,1.0,34715.31,yes,Incident at 4689 Cedar Lane. Officer responded at scene.
624,INC000639,Sexual Assualt,NORTHWEST,Centerville,IL,6334 Main St,31.777811,95.9034,2021-11-16 17:00:35,OFF0027,Sarah,Wright,9972.0,SUS00259,Donna,Flores,26.0,Female,Other,VIC00441,Jennifer,Harris,53.0,FEMALE,248-928-5447,Rifle,2,Under Investigation,Arres Made,1.0,21191.16,1,Incident at 6334 Main St. Officer responded at scene.
630,INC004580,manslaughter,south,Hillcrest,CA,7966 Cedar Lane,182.108,-83.483937,2020-12-08 02:07:59,OFF0019,Richard,Scott,7663.0,SUS00783,Daniel,White,20.0,female,hispanic,VIC00483,Joseph,Garcia,42.0,Female,397-123-8807,Pistol,low,Closed,Dismissed,5.0,16071.36,0,Incident at 7966 Cedar Lane. Officer responded at scene.
631,INC003285,arson,Northwest,Springfield,FL,8287 River Rd,32.371246,53.2429,2020-10-07 10:24:32,OFF0070,Mary,Torres,8534.0,SUS00319,Mary,Scott,-38.0,Other,hispanic,VIC00909,Anthony,Walker,41.0,M,452-967-3226,blunt object,2,Investgation,Arres Made,5.0,4850.55.0,NO,Incident at 8287 River Rd. Officer responded at scene.
634,INC000263,ARSON,SOUTH,Fairview,NY,3422 Park Rd,31.967379,-99.937251,2020-04-22 05:02:10,OFF0060,  Carol  ,Green,4559.0,SUS00791,Robert,Flores,72.0,MALE,Black,VIC00855,James,White,36.0,F,250-557-8185,Bat,Critical,Pending,NO ARREST,4.0,40724.97,No,Incident at 3422 Park Rd. Officer responded at scene.
646,INC001729,Sexual Assualt,northwest,Riverside,OH,7213 Main St,38.624041,-103.226446,2021-08-01 08:08:24,OFF0079,Richard,Flores,3263.0,SUS00723,Richard,White,26.0,male,White,VIC00519,William,Walker,47.0,male,951-521-5911,hands,Crit,Pending,warning,2.0,49249.7,0,Incident at 7213 Main St. Officer responded at scene.
648,INC004185,FRAUD,Northwest,Maplewood,OH,1580 Park Rd,43.512343,-89.610468,2022-06-28 19:12:07,OFF0119,Donna,Brown,6354.0,SUS00413,Michael,Davis,67.0,Other,Asian,VIC00086,Karen,Thomas,62.0,male,649-598-4321,Bat,Medium,CLOSED,warning,5.0,33797.25,False,Incident at 1580 Park Rd. Officer responded at scene.
655,INC002376,Vandalism,West  ,Lakewood,FL,9651 Oak Ave,41.088911,-101.596799,2018-08-25 15:24:58,OFF0085,Jessica,Taylor,9320.0,SUS00399,Chris,Torres,69.0,male,Other,VIC00403,Linda,Walker,28.0,FEMALE,832-638-4069,Hands/Feet,Critical,open,Dismissed,1.0,11372.3,1,Incident at 9651 Oak Ave. Officer responded at scene.
683,INC004866,Assault & Battery,West  ,Hillcrest,TX,2591 Oak Ave,30.914459,-87.867523,2019-11-11 18:13:31,OFF0104,Susan,Wilson,4842.0,SUS00141,Jennifer,Martin,164.0,Other,hispanic,VIC00816,Michelle,Lee,57.0,Unknown,334-360-3786,Bat,MEDIUM,Open,Dismissed,4.0,34407.1,yes,Incident at 2591 Oak Ave. Officer responded at scene.
697,INC001926,Arsen,West  ,Centerville,NY,5715 River Rd,46.058951,-74.210137,2022-03-25 09:46:17,OFF0019,Nancy,Flores,5830.0,SUS00620,David,Green,36.0,F,asian,VIC00188,Emily,Smith,62.0,Unknown,253-648-9876,Gun,4,Pendng,Arrest Made,1.0,27207.26,NO,Incident at 5715 River Rd. Officer responded at scene.
704,INC004711,Theft,Sou,Fairview,PA,4707 Washington Ave,45.232894,-106.691509,05/28/2020 00:57,OFF0082,Michelle,Hall,5635.0,SUS00074,Carol,Walker,181.0,FEMALE,BLACK,VIC00418,Mary,Jones,-48.0,female,955-842-4136,Knife,4,Pendng,No Arrest,1.0,18051.94,Yes,Incident at 4707 Washington Ave. Officer responded at scene.
707,INC003532,DRUG OFFENSE, Northwest,Fairview,GA,996 Lincoln St,44.752817,-101.616851,2019-02-28 21:14:21,OFF0148,Susan,Williams,9184.0,SUS00110,Mark,Jackson,54.0,Other,Unknown,VIC00682,Nancy,Jones,76.0,Female,449-754-5397,Blunt Object,4,Investgation,NO ARREST,3.0,2282.82,no,Incident at 996 Lincoln St. Officer responded at scene.
709,INC003101,Cyber Crime,Nor,Riverside,IL,8437 Elm Blvd,42.675433,-81.356135,2023-08-25 22:57:42,OFF0143,Matthew,Nguyen,8083.0,SUS00283,Barbara,Smith,41.0,Male,hispanic,VIC00703,Michael,Jackson,11.0,Unknown,548-509-8413,Hands/Feet,Critical,open,Arres Made,1.0,28762.44,No,Incident at 8437 Elm Blvd. Officer responded at scene.
710,INC000617,Deception,WEST,Riverside,PA,7577 River Rd,31.300046,-78.49674,2019-04-03 18:36:38,OFF0058,Donna,Young,2109.0,SUS00731,Linda,Hall,26.0,M,Hispanic,VIC00808,Robert,Flores,61.0,m,665-204-3864,Bat,4,Resolved,Case Dismissed,3.0,29158.67,False,Incident at 7577 River Rd. Officer responded at scene.
713,INC000523,TRESPASSING,South,Maplewood,PA,2263 Maple Dr,25.133712,-100.509662,02/07/2019 16:42,OFF0146,Jessica,Taylor,7276.0,SUS00547,Michelle,Brown,24.0,f,Unknown,VIC00056,Matthew,Jones,67.0,F,928-604-3938,blunt object,1,closed,Arrest Made,4.0,22042.48,no,Incident at 2263 Maple Dr. Officer responded at scene.
719,INC000422,Robbery,northeast,Centerville,GA,8755 Main St,30.111647,-115.509788,2019-11-08 14:20:59,OFF0108,John,Hill,2124.0,SUS00705,Anthony,Walker,-48.0,Unknown,Hispanic,VIC00438,Thomas,Harris,74.0,FEMALE,379-931-2119,Rifle,2,Under Investigation,warning,4.0,23760.89,Yes,Incident at 8755 Main St. Officer responded at scene.
734,INC002915,Deception,Nor,Hillcrest,NC,2164 Lincoln St,194.4761,-82.472751,2023-10-01 17:05:10,OFF0036,thomas,Johnson,4317.0,SUS00032,Donna,Thompson,66.0,Male,White,VIC00257,Robert,Lee,36.0,Unknown,382-644-9466,Pistol,Critical,OPEN,No Arrest,5.0,3481.74,True,Incident at 2164 Lincoln St. Officer responded at scene.
797,INC000572,cyber crime,Midtown,Riverside,TX,3171 Washington Ave,33.790383,-74.050545,2022-02-06 12:06:26,OFF0071,Ashley,Scott,8327.0,SUS00082,Nancy,Smith,28.0,FEMALE,White,VIC00213,Matthew,Wright,42.0,f,733-700-6286,blunt object,Med,Under Investigation,Arres Made,2.0,15401.99,False,Incident at 3171 Washington Ave. Officer responded at scene.
808,INC001878,burglary,Cen,Maplewood,PA,8171 Sunset Blvd,39.513442,-85.634197,2024-08-06 04:10:14,OFF0147,Chris,Anderson,3683.0,SUS00783,Anthony,Scott,75.0,Unknown,White,VIC00545,Jennifer,Flores,61.0,f,723-187-6204,hands,High,Pending,Dismissed,1.0,29114.56,False,Incident at 8171 Sunset Blvd. Officer responded at scene.
819,INC003812,D.U.I.,Central,Lakewood,PA,2286 Lincoln St,32.951376,-97.210919,2019-10-29 05:16:40,OFF0128,Barbara,Thomas,7326.0,SUS00599,Patricia,Nguyen,16.0,FEMALE,white,VIC00704,Barbara,Moore,55.0,M,701-331-5445,Gun,1,open,Case Dismissed,5.0,18563.35,0,Incident at 2286 Lincoln St. Officer responded at scene.
821,INC001913,Homicide,Northeast,Oakdale,TX,3969 Washington Ave,26.151168,-102.070981,2020-04-19 02:43:55,OFF0012,Mary,Scott,3994.0,SUS00525,James,Harris,27.0,male,asian,VIC00234,Michelle,Allen,16.0,female,249-397-9074,Gun,1,Closed,NO ARREST,0.0,7703.46,1,Incident at 3969 Washington Ave. Officer responded at scene.
828,INC002439,DUII,Southwest  ,Maplewood,FL,7255 Sunset Blvd,31.291501,-86.266873,2018-08-20 15:19:44,OFF0090,Chris,Jones,3506.0,SUS00593,Joseph,Garcia,19.0,m,BLACK,VIC00052,Mary,Garcia,22.0,Female,745-787-3018,blunt object,MEDIUM,OPEN,Dismissed,1.0,-32760.37,1,Incident at 7255 Sunset Blvd. Officer responded at scene.
835,INC002154,Kidnaping,Eas,Hillcrest,NY,2704 Lincoln St,30.927853,-116.076068,2020-05-13 07:48:57,OFF0099,Anthony,Smith,1078.0,SUS00490,David,Brown,48.0,m,Black,VIC00336,Emily,Harris,56.0,Male,4771882776,Firearm,MEDIUM,Open,warning,4.0,10932.68,yes,Incident at 2704 Lincoln St. Officer responded at scene.
848,INC002971,abduction,South,Fairview,NY,2376 Sunset Blvd,41.065349,-99.25159,2020-08-10 01:39:00,OFF0100,Michael,Scott,3624.0,SUS00476,Matthew,Miller,73.0,M,Black,VIC00028,Karen,Allen,12.0,F,918-330-4062,Unarmed,4,Under Investigation,No Arrest,4.0,17708.45,no,Incident at 2376 Sunset Blvd. Officer responded at scene.
851,INC002874,assault,Wes,Maplewood,TX,490 Elm Blvd,30.767432,-92.706313,2023-12-24 10:00:35,OFF0082,Susan,Thomas,6519.0,SUS00074,Sarah,Walker,29.0,Other,BLACK,VIC00093,Jennifer,Walker,72.0,F,640-550-8236,hands,3,Under Investigation,Case Dismissed,4.0,1780.71,YES,Incident at 490 Elm Blvd. Officer responded at scene.
859,INC001880,Kidnaping,Midtown,Hillcrest,AZ,9089 Main St,36.031944,-114.998456,2020-05-05 07:40:35,OFF0065,Patricia,Green,5581.0,SUS00779,Linda,Miller,26.0,MALE,asian,VIC00568,Emily,Torres,46.0,M,839-324-1411,Pistol,Low,open,Arres Made,5.0,29412.45,0,Incident at 9089 Main St. Officer responded at scene.
864,INC004742,assault,Midtown,Riverside,NY,8186 Main St,32.647581,68.0473,2023-08-29 10:33:19,OFF0042,John,Young,7609.0,SUS00264,Daniel,White,33.0,MALE,white,VIC00996,Sarah,Moore,76.0,Other,972-223-3281,Unarmed,2,CLOSED,NO ARREST,3.0,40495.47,False,Incident at 8186 Main St. Officer responded at scene.
872,INC004878,arson, East,Riverside,OH,7957 Sunset Blvd,33.464126,-105.874105,2023-07-27 05:51:41,OFF0043,Daniel,Wright,9830.0,SUS00758,Robert,Taylor,49.0,m,Unknown,VIC00702,Carol,Young,53.0,MALE,699-810-5560,Unarmed,CRITICAL,Closed,Warning Issued,5.0,13994.63,no,Incident at 7957 Sunset Blvd. Officer responded at scene.
876,INC004373,Arson,SOUTH,Springfield,CA,9395 Main St,32.225066,-89.40601,2022-02-22 21:08:38,OFF0119,Jennifer,Flores,7327.0,SUS00579,Mary,Davis,34.0,MALE,hispanic,VIC00994,Michael,Davis,78.0,F,836-538-7770,Rifle,Medium,OPEN,Arres Made,2.0,-38487.69,True,Incident at 9395 Main St. Officer responded at scene.
903,INC002774,Property Damage,west,Fairview,FL,5382 Cedar Lane,31.272366,-118.898305,2019-07-11 21:45:54,OFF0112,Thomas,Wilson,8751.0,SUS00244,Sarah,Moore,55.0,m,Unknown,VIC00988,Michelle,Miller,30.0,f,483-971-8756,blunt object,4,Pendng,Warning Issued,3.0,44909.71,no,Incident at 5382 Cedar Lane. Officer responded at scene.
913,INC004574,Vandalism, East,Oakdale,PA,2086 Lincoln St,45.699927,-93.450379,2020-08-01 02:22:12,OFF0010,Susan,Anderson,5890.0,SUS00762,Michelle,Jones,46.0,M,Black,VIC00105,Anthony,Wright,17.0,male,899-933-9131,Blunt Object,4,under investigation,warning,0.0,36009.02,False,Incident at 2086 Lincoln St. Officer responded at scene.
937,INC001389,assault,North,Centerville,NY,1445 River Rd,37.778257,-94.087746,2021-03-28 14:42:07,OFF0144,Jennifer,Wilson,3310.0,SUS00252,Nancy,Harris,209.0,MALE,BLACK,VIC00711,David,Miller,26.0,Unknown,781-680-9788,blunt object,Crit,Closed,Dismissed,3.0,35062.8,NO,Incident at 1445 River Rd. Officer responded at scene.
940,INC000271,Roberry,East,Fairview,TX,4789 River Rd,43.443591,-84.089017,2020-02-27 15:23:26,OFF0092,Anthony,Hall,6636.0,SUS00361,Linda,Wilson,43.0,m,White,VIC00333,Chris,Wilson,30.0,male,771-889-9966,Pistol,1,open,arrest made,1.0,42235.99,No,Incident at 4789 River Rd. Officer responded at scene.
963,INC001333,Assault,Southeast,Oakdale,TX,1572 Cedar Lane,44.983083,-73.179745,2019-06-03 02:00:31,OFF0055,Anthony,Walker,6560.0,SUS00604,Richard,Green,37.0,FEMALE,white,VIC00875,Jennifer,Flores,85.0,m,570-123-5929,Gun,Critical,open,Arrest Made,5.0,13566.57,True,Incident at 1572 Cedar Lane. Officer responded at scene.
968,INC001808,CYBER CRIME,NORTHEAST,Springfield,TX,4467 Washington Ave,39.595088,-114.70841,2024-10-24 01:28:46,OFF0071,  Ashley  ,White,4674.0,SUS00126,David,Hall,239.0,MALE,white,VIC00290,Joseph,Johnson,64.0,MALE,769-301-7334,Unarmed,3,open,Arrest Made,5.0,19588.24,1,Incident at 4467 Washington Ave. Officer responded at scene.
970,INC001801,domestic violence,MIDTOWN,Oakdale,OH,8033 River Rd,46.335752,-120.216251,2024-12-05 15:57:07,OFF0035,William,Young,2557.0,SUS00131,Jessica,Young,16.0,Other,white,VIC00616,Matthew,Thompson,21.0,F,635-409-1156,Blunt Object,CRITICAL,OPEN,Dismissed,4.0,-2873.06,False,Incident at 8033 River Rd. Officer responded at scene.
974,INC001264,domestic violence,west,Lakewood,PA,3408 Sunset Blvd,29.587356,-92.64658,2024-10-11 03:52:48,OFF0133,Jennifer,Moore,4169.0,SUS00431,John,Scott,23.0,Male,White,VIC00441,Daniel,Lee,67.0,Other,632-569-2975,Rifle,high,Resolved,No Arrest,5.0,15086.1,0,Incident at 3408 Sunset Blvd. Officer responded at scene.
997,INC004678,Domestc Violence,East  ,Oakdale,CA,8382 Maple Dr,46.248079,-103.975611,2019-11-10 02:24:30,OFF0061,Carol,Walker,3627.0,SUS00236,Daniel,Walker,64.0,female,Unknown,VIC00618,Mary,Wilson,21.0,f,971-941-5486,hands,1,Open,Dismissed,2.0,13062.33,True,Incident at 8382 Maple Dr. Officer responded at scene.
998,INC000803,THEFT,Sou,Centerville,OH,7034 Lincoln St,39.699926,-75.698829,2018-04-09 11:29:59,OFF0122,Michelle,Allen,3646.0,SUS00107,Thomas,Hall,65.0,FEMALE,hispanic,VIC00678,John,Hall,64.0,Unknown,802-203-7343,Pistol,Med,CLOSED,Warning Issued,1.0,20509.01,YES,Incident at 7034 Lincoln St. Officer responded at scene.
1004,INC000236,Fraud, Southeast,Hillcrest,FL,636 River Rd,40.823578,63.3962,2023-05-15 12:44:15,OFF0150,Linda,Walker,6713.0,SUS00496,Jennifer,Flores,34.0,f,Asian,VIC00897,Sarah,Harris,90.0,F,812-465-9903,Unarmed,low,Closed,Case Dismissed,0.0,48145.95,YES,Incident at 636 River Rd. Officer responded at scene.
1013,INC002320,asslt,West,Hillcrest,CA,3487 Washington Ave,45.609899,-77.219213,2023-02-02 00:46:59,OFF0105,David,Anderson,8422.0,SUS00423,Carol,Flores,53.0,Female,White,VIC00393,Jennifer,Torres,13.0,male,624-393-7545,Knife,Low,Investgation,Arres Made,5.0,27303.3,0,Incident at 3487 Washington Ave. Officer responded at scene.
1019,INC001762,Sex Assault,North  ,Fairview,TX,5743 Elm Blvd,35.309055,-73.782752,2018-10-20 15:11:25,OFF0039,Daniel,Harris,5522.0,SUS00002,Robert,Green,53.0,m,BLACK,VIC00656,Carol,Jackson,44.0,Other,(472) -71-2-6191,Gun,4,CLOSED,NO ARREST,-3.0,4236.46,yes,Incident at 5743 Elm Blvd. Officer responded at scene.
1028,INC003530,ARSON,WEST,Lakewood,PA,5879 Elm Blvd,43.357583,-103.258838,2020-11-08 17:25:29,OFF0134,Linda,Jackson,4830.0,SUS00165,Barbara,Thompson,35.0,F,Black,VIC00538,James,Hill,28.0,Unknown,505-962-5437,Rifle,High,open,Arrest Made,1.0,27156.84,No,Incident at 5879 Elm Blvd. Officer responded at scene.
1038,INC000449,ASSAULT,NORTHWEST,Centerville,FL,6281 Main St,28.725946,-113.016567,2020-03-17 10:12:31,OFF0101,Ashley,Martin,7599.0,SUS00152,Jennifer,Thompson,48.0,f,Other,VIC00047,Jessica,Wilson,-27.0,Male,656-768-7180,KNIFE,High,CLOSED,No Arrest,5.0,10326.36,NO,Incident at 6281 Main St. Officer responded at scene.
1045,INC002748,SEXUAL ASSAULT,Northwest  ,Fairview,NC,8358 Cedar Lane,146.3546,-79.784575,2019-06-15 18:55:09,OFF0054,Mary,Smith,7304.0,SUS00716,Emily,Jackson,68.0,FEMALE,Unknown,VIC00812,Patricia,Johnson,29.0,MALE,(483) -41-1-1270,Bat,MEDIUM,Investgation,Arrest Made,1.0,12420.91,no,Incident at 8358 Cedar Lane. Officer responded at scene.
1049,INC003921,sexual assault,CENTRAL,Lakewood,CA,8139 Oak Ave,31.383571,-101.165332,2021-09-12 06:33:32,OFF0028,David,Nguyen,6024.0,SUS00415,John,Taylor,66.0,MALE,Unknown,VIC00381,Michelle,Wilson,28.0,m,670-279-4596,Blunt Object,Crit,open,Dismissed,2.0,11625.08,no,Incident at 8139 Oak Ave. Officer responded at scene.
1055,INC001197,Arson,northeast,Centerville,NC,2449 Main St,26.037013,-105.061882,2021-05-21 16:26:35,OFF0061,Anthony,Brown,7920.0,SUS00737,William,Green,250.0,F,White,VIC00410,Richard,Walker,49.0,Unknown,997-305-3632,blunt object,CRITICAL,closed,arrest made,5.0,41022.13,no,Incident at 2449 Main St. Officer responded at scene.
1056,INC001753,ROBBERY,Mid,Centerville,AZ,8940 Lincoln St,41.900076,-116.317475,05/31/2024 22:36,OFF0100,Sarah,Young,8267.0,SUS00699,Thomas,Smith,47.0,F,asian,VIC00305,Robert,Taylor,83.0,Unknown,611-560-3710,blunt object,Critical,OPEN,NO ARREST,5.0,3641.15,0,Incident at 8940 Lincoln St. Officer responded at scene.
1062,INC004268,Narcotics,CENTRAL,Riverside,IL,2456 Maple Dr,43.505692,-112.382317,2021-07-30 12:57:32,OFF0027,Mary,Thomas,3309.0,SUS00111,Linda,Scott,74.0,Female,Asian,VIC00875,David,Wright,78.0,Unknown,536-824-3743,Unarmed,4,open,Warning Issued,5.0,48227.71,YES,Incident at 2456 Maple Dr. Officer responded at scene.
1065,INC004848,Fraudulent Activity, Northwest,Riverside,CA,2991 Maple Dr,44.890997,-107.766751,2022-05-31 00:08:47,OFF0109,Barbara,Flores,6786.0,SUS00581,Richard,Garcia,70.0,m,asian,VIC00931,Mark,Martin,84.0,MALE,453-626-8943,Hands/Feet,Crit,CLOSED,Arres Made,1.0,4170.62,NO,Incident at 2991 Maple Dr. Officer responded at scene.
1070,INC003371,ROBBERY,Wes,Springfield,OH,524 Maple Dr,34.720624,96.0674,2021-07-03 15:10:11,OFF0069,Donna,Jones,6561.0,SUS00104,Matthew,Brown,21.0,f,hispanic,VIC00370,Michael,Garcia,-55.0,M,524-200-9942,Knife,CRITICAL,Pending,No Arrest,3.0,48211.26,No,Incident at 524 Maple Dr. Officer responded at scene.
1096,INC004000,Homicide,Northwest  ,Oakdale,GA,1559 Oak Ave,26.581233,-91.689874,2022-12-26 19:55:16,OFF0139,Karen,Moore,2756.0,SUS00621,Mark,Wilson,53.0,f,Hispanic,VIC00774,Anthony,Jackson,11.0,female,(462) -85-7-9893,Pistol,4,Resolved,Arres Made,3.0,26052.11.0,True,Incident at 1559 Oak Ave. Officer responded at scene.
1121,INC002783,Homicide,East,Riverside,CA,730 Oak Ave,42.107834,-108.537754,11/21/2019 14:43,OFF0064,John,Young,1567.0,SUS00441,Carol,Thomas,66.0,m,Black,VIC00537,Matthew,Moore,87.0,f,4032219809,Blunt Object,Medium,Investgation,Arrest Made,3.0,38292.85,NO,Incident at 730 Oak Ave. Officer responded at scene.
1136,INC004732,Arson,Sou,Centerville,NY,8118 Cedar Lane,47.783166,-76.51587,06-06-2019,OFF0072,Thomas,Brown,8528.0,SUS00395,Jennifer,Hall,72.0,male,Hispanic,VIC00965,Patricia,Wright,33.0,female,815-788-9629,Pistol,Crit,open,Dismissed,5.0,25717.62,0,Incident at 8118 Cedar Lane. Officer responded at scene.
1137,INC000170,Drunk Driving,Northeast  ,Centerville,FL,5273 Maple Dr,37.08594,-96.868553,2022-03-18 06:22:02,OFF0122,William,Young,7569.0,SUS00654,Charles,Walker,17.0,male,Asian,VIC00917,Michelle,Davis,60.0,male,513-535-7178,firearm,4,Pendng,arrest made,2.0,27527.6,yes,Incident at 5273 Maple Dr. Officer responded at scene.
1146,INC002180,Narcotics,South  ,Riverside,GA,2669 Park Rd,47.143852,-96.233768,2022-08-28 14:40:51,OFF0143,Carol,Jones,8722.0,SUS00724,Carol,Wright,-66.0,f,Other,VIC00086,Chris,Hall,66.0,male,278-745-9175,Unarmed,Low,open,warning,2.0,21464.68,YES,Incident at 2669 Park Rd. Officer responded at scene.
1153,INC003338,assault,Northwest  ,Centerville,PA,8944 Lincoln St,28.399188,-117.871401,2023-11-03 00:58:54,OFF0009,James,Scott,7943.0,SUS00432,Susan,Martin,196.0,M,BLACK,VIC00273,Mark,Walker,87.0,m,423-761-1623,Gun,High,under investigation,Dismissed,5.0,42758.1,False,Incident at 8944 Lincoln St. Officer responded at scene.
1158,INC001281,trespassing,east,Maplewood,AZ,6629 River Rd,25.818301,-90.211456,2020-08-11 10:04:36,OFF0148,JAMES,Young,2494.0,SUS00662,Patricia,Lee,29.0,M,asian,VIC00101,Barbara,Brown,79.0,m,579-737-5870,Knife,Low,OPEN,Dismissed,4.0,40146.29,NO,Incident at 6629 River Rd. Officer responded at scene.
1162,INC001069,TRESPASSING,Cen,Maplewood,GA,2334 Oak Ave,36.851486,-75.77972,2022-02-26 11:45:32,OFF0056,Nancy,Thompson,3898.0,SUS00109,Mark,Taylor,72.0,M,asian,VIC00557,Sarah,Wilson,15.0,m,559-159-4570,Blunt Object,MEDIUM,Closed,Case Dismissed,2.0,38207.36,1,Incident at 2334 Oak Ave. Officer responded at scene.
1169,INC003917,DUII,midtown,Riverside,IL,8822 Maple Dr,33.627268,-109.492952,2024-01-26 02:16:21,OFF0050,Mark,Wilson,2002.0,SUS00690,Ashley,Brown,37.0,female,BLACK,VIC00552,Anthony,Allen,20.0,F,513-110-5813,Bat,2,OPEN,NO ARREST,5.0,35318.38,1,Incident at 8822 Maple Dr. Officer responded at scene.
1180,INC003742,vandalism,Northeast,Lakewood,CA,5340 River Rd,36.129469,-106.729235,2020-12-30 13:42:14,OFF0062,Richard,Scott,7191.0,SUS00139,Michelle,Walker,23.0,M,white,VIC00421,Nancy,Wright,70.0,F,661-963-4307,Gun,Med,closed,Arres Made,3.0,43888.33,No,Incident at 5340 River Rd. Officer responded at scene.
1206,INC000929,  Trespassing  ,central,Centerville,IL,1476 Elm Blvd,35.051996,-75.61942,2022-09-02 10:39:59,OFF0003,Thomas,Wright,7149.0,SUS00327,Patricia,Smith,48.0,F,Black,VIC00630,Joseph,Green,10.0,f,707-968-9231,KNIFE,Crit,Investgation,Case Dismissed,5.0,4003.89,yes,Incident at 1476 Elm Blvd. Officer responded at scene.
1241,INC004560,Cybercrime,Northeast  ,Oakdale,NC,6385 Oak Ave,39.368462,-90.60576,2018-01-17 20:07:18,OFF0023,William,Johnson,2002.0,SUS00667,Emily,Harris,-72.0,M,hispanic,VIC00871,Joseph,Harris,52.0,M,516-488-8493,KNIFE,Critical,Investgation,Arrest Made,4.0,45760.15,False,Incident at 6385 Oak Ave. Officer responded at scene.
1270,INC003069,DRUG OFFENSE,MIDTOWN,Springfield,IL,7179 Cedar Lane,45.952298,-84.193714,2024-06-05 04:54:40,OFF0073,John,Thompson,7762.0,SUS00123,Anthony,Young,21.0,male,Other,VIC00997,Joseph,Williams,19.0,FEMALE,847-389-7220,Rifle,Low,Investgation,Case Dismissed,0.0,35344.66,True,Incident at 7179 Cedar Lane. Officer responded at scene.
1271,INC001927,manslaughter,West  ,Oakdale,CA,2417 Washington Ave,37.471796,-102.884824,2019-03-14 10:28:06,OFF0131,James,Johnson,3080.0,SUS00262,John,Moore,19.0,Other,Hispanic,VIC00848,Karen,Smith,42.0,f,882-620-5309,Rifle,1,Closed,No Arrest,0.0,18098.9,False,Incident at 2417 Washington Ave. Officer responded at scene.
1276,INC002034,Drunk Driving,midtown,Springfield,NC,4227 Park Rd,47.954558,-108.235349,2024-11-30 11:23:14,OFF0069,Mark,Green,9004.0,SUS00638,Sarah,Young,46.0,FEMALE,Hispanic,VIC00431,Jessica,Jones,47.0,M,731-298-2183,Gun,Low,Resolved,No Arrest,5.0,31973.81,No,Incident at 4227 Park Rd. Officer responded at scene.
1292,INC004932,THEFT,Central  ,Centerville,AZ,2549 Elm Blvd,46.877202,-86.161845,2023-11-07 04:21:48,OFF0148,  James  ,White,1737.0,SUS00736,William,Williams,74.0,F,Unknown,VIC00462,William,Hall,54.0,male,465-546-3086,Blunt Object,CRITICAL,under investigation,No Arrest,4.0,23409.14,yes,Incident at 2549 Elm Blvd. Officer responded at scene.
1310,INC002233,Drunk Driving,West,Centerville,IL,8773 Park Rd,35.968398,-81.513471,2021-04-07 06:36:17,OFF0141,Donna,Brown,1518.0,SUS00247,Michelle,Nguyen,72.0,female,hispanic,VIC00995,Linda,Flores,50.0,F,532-648-7905,Knife,Med,Pendng,Dismissed,1.0,7265.34,NO,Incident at 8773 Park Rd. Officer responded at scene.
1326,INC004755,  Trespass  ,SOUTHWEST,Fairview,AZ,6318 Maple Dr,39.179408,-93.773167,2023-06-01 05:51:22,OFF0120,Charles,Jones,8432.0,SUS00575,Anthony,Walker,173.0,M,White,VIC00128,Linda,Wright,60.0,M,952-236-3337,firearm,Critical,Open,Arres Made,0.0,-44198.01,No,Incident at 6318 Maple Dr. Officer responded at scene.
1330,INC001293,Vandlism,Southeast  ,Fairview,AZ,8695 Oak Ave,47.043399,-102.678669,2022-10-17 12:33:47,OFF0019,Jessica,Thomas,6786.0,SUS00344,Carol,Williams,235.0,MALE,Hispanic,VIC00802,William,Jones,19.0,m,(421) -54-4-1868,Hands/Feet,CRITICAL,Pendng,No Arrest,2.0,46914.88,yes,Incident at 8695 Oak Ave. Officer responded at scene.
